TESTNAME,SUBTESTNAME,SUBSUBTESTNAME,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL,FAIL_COUNT
USBC,ACE_FWDL,ACE_Erase,ACE SPI flash erase,acefwdl.FWDL_ZYNQ,20000,Erase_Only,,,,,,,
USBC,ACE_FWDL,DELAY_500MS,delay 500ms,delay.delay,10000,500,,ms,,,,,
USBC,ACE_FWDL,ACE_FWDL,ACE SPI flash firmware download,acefwdl.FWDL_ZYNQ,20000,programmer,,,,,,,
USBC,ACE_FWDL,ACE_SPI_Disconnect,disconnected ACE SPI flash,relay.relay,10000,ACE_SPI_TO_ZYNQ,DISCONNECT,,,,,,

System,Enter_Diags,USB_POWER_OFF,USB power output disable,relay.relay,10000,VBUS_OUTPUT_CTL,OFF,,,,,,
System,Enter_Diags,DELAY_1000MS_1,delay_1000ms,delay.delay,10000,1000,,ms,,,,,
System,Enter_Diags,USB_POWER_ON,USB power output enable,relay.relay,10000,VBUS_OUTPUT_CTL,ON,,,,,,


System,Enter_Diags,DELAY_1000MS_2,delay 1000ms,delay.delay,10000,1000,,ms,,,,,
System,Enter_Diags,Force_DFU,Send_force_dfu_Command_to_31336,dut_dock_config.sendcmd,10000,force_dfu,,,,,,,
System,Enter_Diags,FORCE_DFU_SET_1,,dmm.dfu_set_1,10000,,,,,,,,

System,Enter_Diags,GPIO_FORCE_DFU,,dmm.read_gpio,10000000,GPIO_FORCE_DFU,,mV,1739,1861,,,
System,Enter_Diags,Disable_ADVDM,,dut_dock_config.sendcmd,10000,disable_advdm,,,,,,,


System,Enter_Diags,VDM_CC1_TO_DISCONNECT,VDM_CC1 disconnected to ACE_CC1,relay.relay,10000,VDM_CC1,DISCONNECT,,,,,,

System,Enter_Diags,FORCE_DFU_SET,VDM_CC1 connected to ACE_CC1,dmm.dfu_set,10000,,,,,,,,

System,Enter_Diags,DELAY_1000MS_3,delay 1000ms,delay.delay,10000,1000,,ms,,,,,

System,Enter_Diags,VDM_CC1_TO_ACE_CC1_1,VDM_CC1_connected_to_ACE_CC1,relay.relay,10000,VDM_CC1,TO_ACE_CC1,,,,,,
System,Enter_Diags,DELAY_1000MS_4,delay_2000ms,delay.delay,10000,1000,,ms,,,,,

System,Enter_Diags,Enalble_ADVDM,,dut_dock_config.sendcmd,10000,enable_advdm,,,,,,,
System,Enter_Diags,PP_5V0_VDM_Dis,disconnected PP_5V0_VDM in fixture,relay.relay,10000,PP_5V0_VDM,DISCONNECT,,,,,,

System,Enter_Diags,DELAY_1500MS_1,delay 1500ms,delay.delay,10000,1500,,ms,,,,,
System,Enter_Diags,PPVBUS_FB,measure_PPVBUS_USB_CONN_voltage_TP93D5,powerboard.vbus_check,10000,5,,mV,4000,5500,,,3
System,Enter_Diags,DELAY_2000MS_1,delay 2000ms,delay.delay,10000,2000,,ms,,,,,
System,Enter_Diags,PP3V3_ACE_LDO,measure PP3V3_ACE_LDO voltage,dmm.dmm,10000,PP3V3_ACE_LDO,,mV,2700,3450,,,
System,Enter_Diags,PP3V3_S2_ACE,measure PP3V3_S2_ACE voltage,dmm.dmm,10000,PP3V3_S2_ACE,,mV,3265,3327.5,,,
System,Enter_Diags,DELAY_1000MS_5,delay 1000ms,delay.delay,10000,1000,,ms,,,,,


System,Enter_Diags,DIAGS_ENTER,capture the :-) characters,dut_dock_port.dock_diags_set,150000,diags,]:-),,,,,,



System,Enter_Diags,Diags_Version,get the diags version,dut_dock_port.diags_parse,10000,ver,<<Diags_Version>>,,,,,,
System,Enter_Diags,ACE_DEADBATTERY_Voltage_FB,measure_PPBATT_VCC_voltage_TP9344,dmm.dmm,10000,PPBATT_VCC,,mV,2300,2700,,,
System,Enter_Diags,Set_VBATT_4.3V,set battery voltage to 4.3V,powerboard.setbattvolt,10000,4.3,2.5-4.3-0.08,,,,,,
System,Enter_Diags,ACE_BATTERY_Voltage_FB,measure_PPBATT_VCC_voltage_TP9344,dmm.dmm,10000,PPBATT_VCC,,mV,4200,4400,,,
System,Enter_Diags,A2B_ACC_PWR_EN_L_H,ACC_PWR _EN_L_ST ATUS check 0x17 bit6,dut_dock_port.nopdca_parse_bit,10000,i2c -d 2 0x13 0x17 1,6,,1,1,,,
System,Enter_Diags,B2A_ACC_PWR_PRESENT_L_H_Fix,BELLATERIX_TO_ACE_ACC_PWR_PRESENT_L status check expect low,dmm.dmm,10000,BELLATERIX_TO_ACE_ACC_PWR_PRESENT_L,,mV,3100,3400,,,
System,Enter_Diags,B2A_ACC_PWR_PRESENT_L_H_Diags,reading the cc status it’s connected to CC1,dut_dock_port.dut_nopdca_parse_bit,10000,ace -r 0x72,5,,1,1,,,




DUT_Info,Check,MLB_SERIAL_NO_CHECK,reading MLB sn and compare with scanned sn,dut_dock_port.MLBSNCheck,300000,[[scanned_sn]],<<MLB_SERIAL_NO_CHECK>>,,,,,,3
DUT_Info,Check,Network_CB_Check,network cb check,dut_dock_port.net_work_onoff,300000,[[scanned_sn]],<<NETWORK_CB_CHECK>>,,,,,,3
CB,Check,DFU_CB_Check,DFU CB check,dut_dock_port.cbcheck,10000,0x00,,,,,,,
CB,Check,ICT_CB_Check,ICT cb check,dut_dock_port.cbcheck,10000,0x0A,,,,,,,
System,SET_UP,Write_CFG,,dut_dock_port.diags,10000,socgpio --pin 4 --writecfg 0x472222,,,,,,,
System,SET_UP,Turn_off_Backlight,turn off backlight,dut_dock_port.diags_parse,10000,bl -o,,,,,,,
System,SET_UP,Set_Charge_1000mA,set charge 1000mA to stable the PPVCC_MAIN,dut_dock_port.diags_parse,10000,charge --set 1000 --force,,,,,,,




DUT_Info,MLB,Check_Station_Name,check the testing station name,dut_dock_port.get_station,10000,,{{station}},,,,,,
DUT_Info,MLB,Board_ID,Get board id,dut_dock_port.get_bdid,10000,boardid,<<Board_ID>>,,,,,,
DUT_Info,MLB,Board_ID_Check,get MLB A or B board,dut_dock_port.get_bd,10000,boardid,{{Board}},,,,,,

DUT_Info,MLB,Boot_Config_MLB_A_PP,Boot config,dut_dock_port.diags_parse,10000,bootcfg,<<Boot_Config>>,,0x03,0x03,{{Board_ID}},0x3C,
DUT_Info,MLB,Boot_Config_MLB_B_PP,Boot config,dut_dock_port.diags_parse,10000,bootcfg,<<Boot_Config>>,,0x03,0x03,{{Board_ID}},0x3E,
DUT_Info,MLB,Boot_Config_MLB_A_PG,Boot config,dut_dock_port.diags_parse,10000,bootcfg,<<Boot_Config>>,,0x03,0x03,{{Board_ID}},0x38,
DUT_Info,MLB,Boot_Config_MLB_B_PG,Boot config,dut_dock_port.diags_parse,10000,bootcfg,<<Boot_Config>>,,0x03,0x03,{{Board_ID}},0x3A,

DUT_Info,MLB,Board_Revision_MLB_A_PP,board revision,dut_dock_port.get_bd_revision,10000,,<<Board_Revision_MLB_A_PP>>,,0x08,0x08,{{Board_ID}},0x3C,
DUT_Info,MLB,Board_Revision_MLB_B_PP,board revision,dut_dock_port.get_bd_revision,10000,,<<Board_Revision_MLB_B_PP>>,,0x06,0x06,{{Board_ID}},0x3E,

DUT_Info,MLB,Board_Revision_MLB_A_PG,board revision,dut_dock_port.get_bd_revision,10000,,<<Board_Revision_MLB_A_PP>>,,0x08,0x08,{{Board_ID}},0x38,
DUT_Info,MLB,Board_Revision_MLB_B_PG,board revision,dut_dock_port.get_bd_revision,10000,,<<Board_Revision_MLB_B_PP>>,,0x08,0x08,{{Board_ID}},0x3A,





DUT_Info,MLB,CHIPID,chipped,dut_dock_port.diags_parse,10000,chipid,<<Soc_CHIPID>>,,,,,,
DUT_Info,MLB,DIE_ID,DIE_ID,dut_dock_port.parse,10000,dieid,<<Soc_DIE_ID>>,,,,,,
DUT_Info,MLB,FUSEID,FUSEID,dut_dock_port.parse,10000,fuseid,<<FUSEID>>,,,,,,
DUT_Info,MLB,ECID,ECID,dut_dock_port.parse,10000,ecid,<<ECID>>,,,,,,
DUT_Info,MLB,ECID_Compare,ECID_Compare,dut_dock_port.idcheck,10000,[[scanned_sn]],ecid,,,,,,3
DUT_Info,MLB,Get_SOC_properites,Get_SOC_properites,dut_dock_port.diags,10000,soc -p,,,,,,,
DUT_Info,MLB,SoC_Production_Stage,SoC_Production_Stage,dut_dock_port.soc_pro_stage,10000,,<<SoC_Production_Stage>>,,,,,,
DUT_Info,MLB,Fuse-Rev,fuse revision,dut_dock_port.parse,10000,fuse_rev,<<Fuse-Rev>>,,6,6,,,
DUT_Info,MLB,SOC_Revision,SOC_Revision,dut_dock_port.parse,10000,soc_rev,<<SOC_Revision>>,,A1,A1,,,
DUT_Info,MLB,Bin-cut-info-change-flag,SOC_Revision,dut_dock_port.parse,10000,bin_cut_info_change_flag,<<Bin-cut-info-change-flag>>,,4,4,,,
DUT_Info,MLB,IO_LEAKAGE_BIN_FUSE,IO_LEAKAGE_BIN_FUSE,dut_dock_port.parse,10000,io_leakage,,,,,,,
DUT_Info,MLB,CPU_SRAM_IO_LEAKAGE_BIN_FUSE,CPU_SRAM_IO_LEAKAGE_BIN_FUSE,dut_dock_port.parse,10000,cpu_sram,,,,,,,
DUT_Info,MLB,GPU_SRAM_IO_LEAKAGE_BIN_FUSE,GPU_SRAM_IO_LEAKAGE_BIN_FUSE,dut_dock_port.parse,10000,gpu_sram,,,,,,,
DUT_Info,MLB,VDD_LOW_IO_LEAKAGE_BIN_FUSE,VDD_LOW_IO_LEAKAGE_BIN_FUSE,dut_dock_port.parse,10000,vdd_low,,,,,,,
DUT_Info,MLB,VDD_FIXED_IO_LEAKAGE_BIN_FUSE,VDD_FIXED_IO_LEAKAGE_BIN_FUSE,dut_dock_port.parse,10000,vdd_fixed,,,,,,,
DUT_Info,MLB,ECPU_IO_LEAKAGE_BIN_FUSE,ECPU_IO_LEAKAGE_BIN_FUSE,dut_dock_port.parse,10000,ecpu_io_leakage,,,,,,,
DUT_Info,MLB,PCPU_IO_LEAKAGE_BIN_FUSE,PCPU_IO_LEAKAGE_BIN_FUSE,dut_dock_port.parse,10000,pcpu_io_leakage,,,,,,,
DUT_Info,MLB,VDD_VAR_SOC_IO_LEAKAGE_BIN_FUSE,VDD_VAR_SOC_IO_LEAKAGE_BIN_FUSE,dut_dock_port.parse,10000,vdd_var,,,,,,,
DUT_Info,MLB,GPU_IO_LEAKAGE_BIN_FUSE,GPU_IO_LEAKAGE_BIN_FUSE,dut_dock_port.parse,10000,gpu_io,,,,,,,
DUT_Info,MLB,VDD_DCS_LEAKAGE_BIN_FUSE,VDD_DCS_LEAKAGE_BIN_FUSE,dut_dock_port.parse,10000,vdd_dcs_leakage,,,,,,,
DUT_Info,MLB,PROD_ID,PROD_ID,dut_dock_port.parse,10000,prod_id,<<PROD_ID>>,,,,,,
DUT_Info,MLB,DRAM_MEMORY_VENDOR,DRAM_MEMORY_VENDOR,dut_dock_port.parse,10000,memory_vendor,<<DRAM-MEMORY-VENDOR>>,,,,,,
DUT_Info,MLB,DRAM_MEMORY_DENSITY,DRAM_MEMORY_DENSITY,dut_dock_port.parse,10000,memory_density,<<DRAM_MEMORY_DENSITY>>,,,,,,
DUT_Info,MLB,MEMCTLR_CFG_SIZE,MEMCTLR_CFG_SIZE,dut_dock_port.parse,10000,memory_size,<<MEMCTLR_CFG_SIZE>>,,6144 MB,6144 MB,,,
DUT_Info,MLB,CFG_FUSE0,CFG_FUSE0,dut_dock_port.diags_parse,10000,memrw --32 0x23d2bc000 -c 16,<<CFG_FUSE0>>,,,,,,
DUT_Info,MLB,CFG_FUSE1,CFG_FUSE1,dut_dock_port.parse,10000,cfg_fuse1,<<CFG_FUSE1>>,,,,,,
DUT_Info,MLB,CFG_FUSE2,CFG_FUSE2,dut_dock_port.parse,10000,cfg_fuse2,<<CFG_FUSE2>>,,,,,,
DUT_Info,MLB,CFG_FUSE3,CFG_FUSE3,dut_dock_port.parse,10000,cfg_fuse3,<<CFG_FUSE3>>,,,,,,
DUT_Info,MLB,CFG_FUSE4,CFG_FUSE4,dut_dock_port.parse,10000,cfg_fuse4,<<CFG_FUSE4>>,,,,,,
DUT_Info,MLB,CFG_FUSE5,CFG_FUSE5,dut_dock_port.parse,10000,cfg_fuse5,<<CFG_FUSE5>>,,,,,,
DUT_Info,MLB,CFG_FUSE6,CFG_FUSE6,dut_dock_port.parse,10000,cfg_fuse6,<<CFG_FUSE6>>,,,,,,
DUT_Info,MLB,CFG_FUSE7,CFG_FUSE7,dut_dock_port.parse,10000,cfg_fuse7,<<CFG_FUSE7>>,,,,,,
DUT_Info,MLB,CFG_FUSE8,CFG_FUSE8,dut_dock_port.parse,10000,cfg_fuse8,<<CFG_FUSE8>>,,,,,,
DUT_Info,MLB,CFG_FUSE9,CFG_FUSE9,dut_dock_port.parse,10000,cfg_fuse9,<<CFG_FUSE9>>,,,,,,
DUT_Info,MLB,CFG_FUSE10,CFG_FUSE10,dut_dock_port.parse,10000,cfg_fuse10,<<CFG_FUSE10>>,,,,,,
DUT_Info,MLB,CFG_FUSE11,CFG_FUSE11,dut_dock_port.parse,10000,cfg_fuse11,<<CFG_FUSE11>>,,,,,,
DUT_Info,MLB,CFG_FUSE12,CFG_FUSE12,dut_dock_port.parse,10000,cfg_fuse12,<<CFG_FUSE12>>,,,,,,
DUT_Info,MLB,CFG_FUSE13,CFG_FUSE13,dut_dock_port.parse,10000,cfg_fuse13,<<CFG_FUSE13>>,,,,,,
DUT_Info,MLB,CFG_FUSE14,CFG_FUSE14,dut_dock_port.parse,10000,cfg_fuse14,<<CFG_FUSE14>>,,,,,,
DUT_Info,MLB,CFG_FUSE15,CFG_FUSE15,dut_dock_port.parse,10000,cfg_fuse15,<<CFG_FUSE15>>,,,,,,
DUT_Info,MLB,PCIE_LINK_0_STATUS,PCIE_LINK_0_STATUS,dut_dock_port.diags_parse,10000,memrw --32 0x610000080,<<PCIELINK0STATUS>>,,,,,,
DUT_Info,MLB,SOC_Drive_Strength,SOC_Drive_Strength,dut_dock_port.drive_strength,10000,memrw --32 0x23d2bc000 -c 16,19,,,,,,





PMU,Version_Check,Athena_Select,Athena_Select,dut_dock_port.diags,10000,reg select D2483,,,,,,,
PMU,Version_Check,PMU_Athena_OTP_Revision_PP,PMU_Athena_OTP_Revision,dut_dock_port.diags_parse,10000,pmurw -r 0x1101,<<PMU_Athena_OTP_Revision>>,,0x06,0x06,{{station}},--PASS--NOPDCA--PP,
PMU,Version_Check,PMU_Athena_Platform_ID_PP,PMU_Athena_Platform_ID,dut_dock_port.diags_parse,10000,pmurw -r 0x1102,<<PMU_Athena_Platform_ID>>,,0x06,0x06,{{station}},--PASS--NOPDCA--PP,
PMU,Version_Check,PMU_Athena_OTP_Revision_PG,PMU_Athena_OTP_Revision,dut_dock_port.diags_parse,10000,pmurw -r 0x1101,<<PMU_Athena_OTP_Revision>>,,0x07,0x07,{{station}},--PASS--NOPDCA--PG,
PMU,Version_Check,PMU_Athena_Platform_ID_PG,PMU_Athena_Platform_ID,dut_dock_port.diags_parse,10000,pmurw -r 0x1102,<<PMU_Athena_Platform_ID>>,,0x07,0x07,{{station}},--PASS--NOPDCA--PG,
PMU,Version_Check,PMU_Athena_Device_ID,PMU_Athena_Device_ID,dut_dock_port.diags_parse,10000,pmurw -r 0x1104 7,<<PMU_Athena_Device_ID>>,,,,,,
PMU,Version_Check,Apollo_Select,Apollo_Select,dut_dock_port.diags,10000,reg select D2537,,,,,,,
PMU,Version_Check,PMU_Apollo_OTP_Revision_PP,PMU_Apollo_OTP_Revision,dut_dock_port.diags_parse,10000,reg read 0x1101,<<PMU_Apollo_OTP_Revision>>,,0x05,0x05,{{station}},--PASS--NOPDCA--PP,
PMU,Version_Check,PMU_Apollo_Platform_ID_PP,PMU_Apollo_Platform_ID,dut_dock_port.diags_parse,10000,reg read 0x1102,<<PMU_Apollo_Platform_ID>>,,0x06,0x06,{{station}},--PASS--NOPDCA--PP,

PMU,Version_Check,PMU_Apollo_OTP_Revision_PG,PMU_Apollo_OTP_Revision,dut_dock_port.diags_parse,10000,reg read 0x1101,<<PMU_Apollo_OTP_Revision>>,,0x06,0x06,{{station}},--PASS--NOPDCA--PG,
PMU,Version_Check,PMU_Apollo_Platform_ID_PG,PMU_Apollo_Platform_ID,dut_dock_port.diags_parse,10000,reg read 0x1102,<<PMU_Apollo_Platform_ID>>,,0x07,0x07,{{station}},--PASS--NOPDCA--PG,
PMU,Version_Check,PMU_Apollo_Device_ID,PMU_Apollo_Device_ID,dut_dock_port.version_check,60000,,<<PMU_Apollo_Device_ID>>,,,,,,
PMU,Version_Check,ADAMS_Select,ADAMS_Select,dut_dock_port.diags,10000,camisp --find;reg select cpmu,,,,,,,
PMU,Version_Check,ADAMS_OTP_Revision_PP,ADAMS_OTP_Revision,dut_dock_port.diags_parse,10000,reg read 0x1101,<<ADAMS_OTP_Revision>>,,0x05,0x05,{{station}},--PASS--NOPDCA--PP,
PMU,Version_Check,ADAMS_Platform_ID_PP,ADAMS_Platform_ID,dut_dock_port.diags_parse,10000,reg read 0x1102,<<ADAMS_Platform_ID>>,,0x01,0x01,{{station}},--PASS--NOPDCA--PP,
PMU,Version_Check,ADAMS_OTP_Revision,ADAMS_OTP_Revision_PG,dut_dock_port.diags_parse,10000,reg read 0x1101,<<ADAMS_OTP_Revision>>,,0x05,0x05,{{station}},--PASS--NOPDCA--PG,
PMU,Version_Check,ADAMS_Platform_ID,ADAMS_Platform_ID_PG,dut_dock_port.diags_parse,10000,reg read 0x1102,<<ADAMS_Platform_ID>>,,0x02,0x02,{{station}},--PASS--NOPDCA--PG,
PMU,Version_Check,ADAMS_Device_ID,ADAMS_Device_ID,dut_dock_port.version_check,60000,,,,,,,,
PMU,Version_Check,POTOMAC_Select,POTOMAC_Select,dut_dock_port.diags,10000,reg select D2559,,,,,,,
PMU,Version_Check,POTOMAC_OTP_Revision_PP,POTOMAC_OTP_Revision,dut_dock_port.diags_parse,10000,i2c -z 2 -d 8 0x75 0x1101 1,<<POTOMAC-OTP-Revision>>,,0x03,0x03,{{station}},--PASS--NOPDCA--PP,
PMU,Version_Check,POTOMAC_Platform_ID_PP,POTOMAC_Platform_ID,dut_dock_port.diags_parse,10000,i2c -z 2 -d 8 0x75 0x1102 1,<<POTOMAC_Platform_ID>>,,0x04,0x04,{{station}},--PASS--NOPDCA--PP,
PMU,Version_Check,POTOMAC_OTP_Revision,POTOMAC_OTP_Revision_PG,dut_dock_port.diags_parse,10000,i2c -z 2 -d 8 0x75 0x1101 1,<<POTOMAC_OTP_Revision>>,,0x03,0x03,{{station}},--PASS--NOPDCA--PG,
PMU,Version_Check,POTOMAC_Platform_ID,POTOMAC_Platform_ID_PG,dut_dock_port.diags_parse,10000,i2c -z 2 -d 8 0x75 0x1102 1,<<POTOMAC-Platform-ID>>,,0x05,0x05,{{station}},--PASS--NOPDCA--PG,
PMU,Version_Check,POTOMAC_Device_ID,POTOMAC_Device_ID,dut_dock_port.diags_parse,10000,i2c -z 2 -d 8 0x75 0x1104 5,<<POTOMAC_Device_ID>>,,,,,,
PMU,Version_Check,CAM_EXIT,CAM_EXIT,dut_dock_port.diags,10000,camisp --exit,,,,,,,
PMU,End_Test,Stop_Dock,,dut_dock_config.sendcmd,10000,disable_dc,,,,,,,
PMU,End_Test,DELAY_500MS_1,delay 500ms,delay.delay,10000,500,,ms,,,,,
PMU,End_Test,Disalble_ADVDM,,dut_dock_config.sendcmd,10000,disable_advdm,,,,,,,
PMU,End_Test,DELAY_500MS_6,delay 500ms,delay.delay,10000,500,,ms,,,,,

USBC,ACE_FW,ACE_FW_Version,check ACE firmware version,dut.diags_parse,10000,ace --pick usbc;ace --read 0x0f,<<ACE_FW_Version>>,,00 09 20 00,00 09 20 00,,,
USBC,ACE_FW,GPIO_ACE_TO_SMC_IRQ_L_L2H,GPIO_ACE_TO_SMC_IRQ_L status check expect 1,orion.diags_parse,10000,socgpio --port 2 --pin 1 --get,,,1,1,,,
USBC,OTP_Program,OTP_Check,check ace OTP version,otpprogram.otpcheck,10000,,{{otpcheck}},,,,,,
USBC,OTP_Program,Power_Set,disconnect cc PPVBUS; set PPVBUS_PORT to 14v,otpprogram.otp_write_set,10000,,,,,,{{otpcheck}},--OTP_NEED_PROGRAM--NOPDCA,
USBC,OTP_Program,PPVBUS_PROT,measure PPVBUS_PROT voltage,dmm.dmm,10000,PPVBUS_PROT,,mV,13500,14500,{{otpcheck}},--OTP_NEED_PROGRAM--NOPDCA,3
USBC,OTP_Program,OTP_Write,ace OTP write,otpprogram.otp_write,10000,,,,,,{{otpcheck}},--OTP_NEED_PROGRAM--NOPDCA,
USBC,OTP_Program,Power_Set_Back,"connected cc PPVBU; disconnected PPVBUS_PORT",otpprogram.otp_write_setback,10000,,,,,,{{otpcheck}},--OTP_NEED_PROGRAM--NOPDCA,
USBC,OTP_Program,PPVBUS_PROT_Back,measure PPVBUS_PROT voltage,dmm.dmm,10000,PPVBUS_PROT,,mV,4700,5300,{{otpcheck}},--OTP_NEED_PROGRAM--NOPDCA,
USBC,OTP_Program,OTP_ReCheck,Ace OTP version check again after write,otpprogram.otpcheck_read,10000,"ace --4cc OTPr --txdata ""0x80"" --rxdata 4",<<USBC_OTP_Program_OTP_ReCheck>>,,0x4C 0x4B 0x60 0x3F,0x4C 0x4B 0x60 0x3F,,,
